year,Total number of schools in DCPS,grade,total number of ELA takers,number of students at proficient ELA level,"ELA RATE of proficiency per 1,000 students",total number of MATH takers,number of students at proficient MATH level,"MATH RATE of proficiency per 1,000 students",,Year,3rd Grade ELA Rate of Proficiency per 1000 students,3rd Grade MATH Rate of Proficiency per 1000 students,Difference in English scores compared to Math scores,4th Grade ELA Rate of Proficiency per 1000 students,4th Grade MATH Rate of Proficiency per 1000 students,Difference in English scores compared to Math scores,5th Grade ELA Rate of Proficiency per 1000 students,5th Grade MATH Rate of Proficiency per 1000 students,Difference in English scores compared to Math scores
2014-2015,75,3,3352,810,241.65,3352.00,1001.00,298.63,,2014-2015,241.65,298.63,-56.98,280.22,286.82,-6.60,241.06,236.18,4.88
2014-2015,,4,3094,867,280.22,3103.00,890.00,286.82,,2015-2016,245.94,364.19,-118.25,294.38,310.06,-15.68,282.20,286.76,-4.55
2014-2015,,5,2572,620,241.06,2587.00,611.00,236.18,,2016-2017,289.12,387.50,-98.38,341.96,333.69,8.26,346.19,310.01,36.18
2015-2016,77,3,3814,938,245.94,3803.00,1385.00,364.19,,2017-2018,327.71,416.11,-88.41,367.91,354.37,13.54,354.52,328.30,26.22
2015-2016,,4,3363,990,294.38,3351.00,1039.00,310.06,,2018-2019,363.37,438.28,-74.91,418.24,401.55,16.68,367.02,337.40,29.61
2015-2016,,5,2888,815,282.20,2877.00,825.00,286.76,,2021-2022,316.65,342.23,-25.58,377.39,288.80,88.59,365.81,256.19,109.62
2016-2017,77,3,3770,1090,289.12,3760.00,1457.00,387.50,,2022-2023,325.44,376.37,-50.94,415.71,350.70,65.01,383.30,290.11,93.20
2016-2017,,4,3711,1269,341.96,3713.00,1239.00,333.69,,2023-2024,354.53,367.40,-12.87,411.29,348.38,62.91,387.76,309.74,78.02
2016-2017,,5,3085,1068,346.19,3087.00,957.00,310.01,,2024-2025,366.39,404.42,-38.04,457.79,370.83,86.96,401.14,345.79,55.35
2017-2018,76,3,3613,1184,327.71,3612.00,1503.00,416.11,,,,,,,,,,,
2017-2018,,4,3615,1330,367.91,3612.00,1280.00,354.37,,,,,,,,,,,
2017-2018,,5,3382,1199,354.52,3378.00,1109.00,328.30,,,,,,,,,,,
2018-2019,78,3,3696,1343,363.37,3694.00,1619.00,438.28,,,,,,,,,,,
2018-2019,,4,3608,1509,418.24,3606.00,1448.00,401.55,,,,,,,,,,,
2018-2019,,5,3444,1264,367.02,3441.00,1161.00,337.40,,,,,,,,,,,
2021-2022,,3,3477,1101,316.65,3483.00,1192.00,342.23,,,,,,,,,,,
2021-2022,78,4,3556,1342,377.39,3570.00,1031.00,288.80,,,,,,,,,,,
2021-2022,,5,3264,1194,365.81,3271.00,838.00,256.19,,,,,,,,,,,
2022-2023,,3,3546,1154,325.44,3547.00,1335.00,376.37,,,,,,,,,,,
2022-2023,78,4,3488,1450,415.71,3493.00,1225.00,350.70,,,,,,,,,,,
2022-2023,,5,3282,1258,383.30,3285.00,953.00,290.11,,,,,,,,,,,
2023-2024,,3,3664,1299,354.53,3669.00,1348.00,367.40,,,,,,,,,,,
2023-2024,79,4,3596,1479,411.29,3611.00,1258.00,348.38,,,,,,,,,,,
2023-2024,,5,3283,1273,387.76,3306.00,1024.00,309.74,,,,,,,,,,,
2024-2025,,3,3802,1393,366.39,3798.00,1536.00,404.42,,,,,,,,,,,
2024-2025,78,4,3637,1665,457.79,3627.00,1345.00,370.83,,,,,,,,,,,
2024-2025,,5,3323,1333,401.14,3317.00,1147.00,345.79,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,there are 74 number of students who are less proficient in math than sicence,,,,,
