,,,DATA AS OF: August 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School Code ,School Name ,Grade,# of English Language Arts (ELA) Test Takers,ELA -  # Level 1,ELA - # Level 2,ELA - # Level 3,ELA - # Level 4,ELA - # Level 5,ELA # Proficient,ELA - % Level 1,ELA - % Level 2,ELA - % Level 3,ELA - % Level 4,ELA - % Level 5,ELA - % Proficient,# Math Test Takers,Math - # Level 1,Math - # Level 2,Math - # Level 3,Math - # Level 4,Math - # Level 5,Math - # Proficient,Math - % Level 1,Math - % Level 2,Math - % Level 3,Math - % Level 4,Math - % Level 5,Math - % Proficient,MSAA - # of English Language Arts (ELA) Test Takers,MSAA - ELA -  # Level 1,MSAA - ELA - # Level 2,MSAA - ELA - # Level 3,MSAA - ELA - # Level 4,MSAA - ELA # Proficient,MSAA - ELA - % Level 1,MSAA - ELA - % Level 2,MSAA - ELA - % Level 3,MSAA - ELA - % Level 4,MSAA - ELA - % Proficient,MSAA - # of Math Test Takers,MSAA - Math -  # Level 1,MSAA - Math - # Level 2,MSAA - Math - # Level 3,MSAA - Math - # Level 4,MSAA - Math # Proficient,MSAA - Math - % Level 1,MSAA - Math - % Level 2,MSAA - Math - % Level 3,MSAA - Math - % Level 4,MSAA - Math - % Proficient
202,Lorraine H. Whitlock Elementary School,03,24,14,5,2,3,0,3,58.33%,20.83%,8.33%,12.50%,0.00%,12.50%,24,7,5,7,5,0,5,29.17%,20.83%,29.17%,20.83%,0.00%,20.83%,.,,,,,,,,,,,.,,,,,,,,,,
202,Lorraine H. Whitlock Elementary School,04,27,7,4,5,9,2,11,25.93%,14.81%,18.52%,33.33%,7.41%,40.74%,27,4,14,4,5,0,5,14.81%,51.85%,14.81%,18.52%,0.00%,18.52%,.,,,,,,,,,,,.,,,,,,,,,,
202,Lorraine H. Whitlock Elementary School,05,18,5,4,7,2,0,2,27.78%,22.22%,38.89%,11.11%,0.00%,11.11%,17,9,6,1,1,0,1,52.94%,35.29%,5.88%,5.88%,0.00%,5.88%,.,,,,,,,,,,,.,,,,,,,,,,
202,Lorraine H. Whitlock Elementary School,ALL,69,26,13,14,14,2,16,37.68%,18.84%,20.29%,20.29%,2.90%,23.19%,68,20,25,12,11,0,11,29.41%,36.76%,17.65%,16.18%,0.00%,16.18%,.,,,,,,,,,,,.,,,,,,,,,,
